"date","transaction","description","amount","balance","currency"
"2025-11-01","INT","Interest earned","0.83","527.26","CAD"
"2025-11-01","SPEND","Nova Pharmacy","-6.48","520.78","CAD"
"2025-11-02","SPEND","Marthas Pizza Ii Halif","-48.46","472.32","CAD"
"2025-11-02","SPEND","Dalhousie U-Life Scien","-13.99","458.33","CAD"
"2025-11-02","SPEND","Nova Pharmacy","-9.11","449.22","CAD"
"2025-11-02","SPEND","The Highlander Med","-31.05","418.17","CAD"
"2025-11-05","TRFINTF","Transfer in","450.0","868.17","CAD"
"2025-11-05","SPEND","Nova Pharmacy","-4.31","863.86","CAD"
"2025-11-06","SPEND","Chef In The Kitche","-16.39","847.47","CAD"
"2025-11-07","SPEND","Steam Purchase","-83.99","763.48","CAD"
"2025-11-07","SPEND","Staples","-17.76","745.72","CAD"
"2025-11-07","SPEND","Brickyard Health","-70.0","675.72","CAD"
"2025-11-08","SPEND","Internet Atlantic","-66.06","609.66","CAD"
"2025-11-09","SPEND","Noggins On Coburg","-3.71","605.95","CAD"
"2025-11-09","SPEND","Nova Pharmacy","-9.2","596.75","CAD"
"2025-11-10","SPEND","Nova Pharmacy","-6.26","590.49","CAD"
"2025-11-12","SPEND","Www.tomaspizza.ca","-28.23","562.26","CAD"
"2025-11-13","SPEND","Noggins On Coburg","-18.75","543.51","CAD"
"2025-11-14","SPEND_REFUND","LENOVO CANADA MARKHAM ON","1311.38","1854.89","CAD"
"2025-11-14","SPEND","Richardson Therapy","-175.0","1679.89","CAD"
"2025-11-15","SPEND","Nova Pharmacy","-12.75","1667.14","CAD"
"2025-11-19","GIVEAWAY","Giveaway received","23.12","1690.26","CAD"
"2025-11-19","OBP_OUT","Online bill payment for NOVA SCOTIA POWER INC, account ∙∙∙∙04 (executed at 2025-11-19)","-147.23","1543.03","CAD"
"2025-11-19","SPEND","Chef In The Kitche","-16.39","1526.64","CAD"
"2025-11-19","SPEND","Dalhousie U-Life Scien","-11.5","1515.14","CAD"
"2025-11-19","SPEND","Nova Pharmacy","-6.26","1508.88","CAD"
"2025-11-21","SPEND","Nova Pharmacy","-7.99","1500.89","CAD"
"2025-11-23","SPEND","Noggins On Coburg","-5.42","1495.47","CAD"
"2025-11-23","SPEND","Nova Pharmacy","-21.73","1473.74","CAD"
"2025-11-24","SPEND","Dalhousie U-Killam","-4.85","1468.89","CAD"
"2025-11-24","SPEND","Nova Pharmacy","-4.89","1464.0","CAD"
"2025-11-24","SPEND","Dalhousie U-Killam","-6.49","1457.51","CAD"
"2025-11-24","SPEND","Chef In The Kitche","-16.39","1441.12","CAD"
"2025-11-25","SPEND","Mycreds Mescertif","-21.0","1420.12","CAD"
"2025-11-26","SPEND","Nova Pharmacy","-6.26","1413.86","CAD"
"2025-11-27","SPEND","Noggins On Coburg","-2.85","1411.01","CAD"
"2025-11-27","SPEND","Subway 53205","-3.26","1407.75","CAD"
"2025-11-28","E_TRFOUT","Interac e-Transfer® Out","-200.0","1207.75","CAD"
"2025-11-30","SPEND","Noggins On Coburg","-4.28","1203.47","CAD"
"2025-11-30","SPEND","Noggins On Coburg","-19.7","1183.77","CAD"
"2025-11-30","SPEND","Nova Pharmacy","-12.52","1171.25","CAD"